fold,epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
4,17,7.409e-05,0.062192,0.976622,0.088859,0.97078,0.971352,0.997639,0.990378,0.951169,0.953042,0.989979,0.942284,0.94156,44.02
4,18,7.129e-05,0.050426,0.981693,0.054143,0.982468,0.982576,0.998217,0.988316,0.976616,0.976902,0.98817,0.965002,0.964936,43.9
4,19,6.841e-05,0.052844,0.981177,0.049178,0.982124,0.982301,0.998926,0.991753,0.97249,0.973028,0.991585,0.964427,0.964249,44.22
4,20,6.545e-05,0.042061,0.984873,0.084542,0.97353,0.973978,0.997593,0.990378,0.956671,0.958112,0.990036,0.947598,0.94706,43.85
4,21,6.243e-05,0.049203,0.983326,0.046461,0.984531,0.984647,0.998537,0.991753,0.977304,0.977642,0.991626,0.969162,0.969061,44.36
4,22,5.937e-05,0.035858,0.988053,0.08192,0.972843,0.973428,0.99874,0.994502,0.951169,0.953228,0.994249,0.946573,0.945685,43.99
4,23,5.627e-05,0.034855,0.98728,0.083436,0.972843,0.97341,0.998519,0.993814,0.951857,0.953826,0.993539,0.946518,0.945685,43.93
4,24,5.314e-05,0.030938,0.988311,0.083495,0.97353,0.974065,0.998308,0.993814,0.953232,0.955086,0.993548,0.94784,0.94706,43.78
4,25,5e-05,0.038113,0.98642,0.061026,0.981093,0.98135,0.999385,0.994502,0.967675,0.968541,0.994346,0.962532,0.962186,43.49
4,26,4.686e-05,0.026747,0.990374,0.06469,0.980062,0.980352,0.998968,0.994502,0.965612,0.9666,0.994334,0.960524,0.960123,43.52
4,27,4.373e-05,0.025608,0.990632,0.038339,0.985906,0.985992,0.99939,0.991753,0.980055,0.980299,0.991649,0.971878,0.971812,43.63
4,28,4.063e-05,0.020878,0.992523,0.070711,0.978687,0.979068,0.999324,0.996564,0.960798,0.962177,0.996434,0.957986,0.957373,44.11
4,29,3.757e-05,0.022902,0.992437,0.054839,0.985218,0.985329,0.999123,0.99244,0.977992,0.97832,0.992324,0.970538,0.970436,43.84
4,30,3.455e-05,0.020713,0.991835,0.062935,0.982812,0.983005,0.999367,0.993814,0.971802,0.972428,0.993671,0.965857,0.965624,43.99
4,31,3.159e-05,0.020278,0.99278,0.074556,0.976968,0.977327,0.998839,0.99244,0.961486,0.962667,0.992193,0.954392,0.953936,43.43
4,32,2.871e-05,0.017861,0.993984,0.060769,0.984875,0.984993,0.99917,0.99244,0.977304,0.977657,0.992318,0.96986,0.969749,43.84
4,33,2.591e-05,0.016328,0.994843,0.046089,0.988312,0.98838,0.999152,0.993814,0.982806,0.983005,0.993741,0.976683,0.976624,44.01
4,34,2.321e-05,0.013294,0.995015,0.068445,0.981781,0.982003,0.999043,0.993814,0.969739,0.97047,0.993658,0.96384,0.963561,43.31
4,35,2.061e-05,0.01726,0.99407,0.064778,0.983499,0.983673,0.999028,0.993814,0.973177,0.973737,0.99368,0.967204,0.966999,43.71
4,36,1.813e-05,0.014265,0.994757,0.057833,0.983843,0.984008,0.999152,0.993814,0.973865,0.974394,0.993684,0.967879,0.967686,43.98
4,37,1.577e-05,0.011468,0.995789,0.049868,0.985218,0.985329,0.999168,0.99244,0.977992,0.97832,0.992324,0.970538,0.970436,44.13
5,1,9.99e-05,0.429072,0.7989,0.341838,0.853164,0.865342,0.953335,0.943604,0.762724,0.799068,0.93115,0.718174,0.706327,43.65
5,2,9.961e-05,0.325829,0.858886,0.258981,0.8989,0.903607,0.970507,0.94773,0.850069,0.863409,0.942073,0.801631,0.797799,43.78
5,3,9.911e-05,0.27011,0.888192,0.181387,0.922627,0.925224,0.984992,0.957359,0.887895,0.895177,0.954176,0.847301,0.845254,43.76
5,4,9.843e-05,0.227239,0.910622,0.156152,0.935351,0.937417,0.98933,0.968363,0.902338,0.908387,0.966127,0.872606,0.870702,43.84
5,5,9.755e-05,0.197118,0.920076,0.152267,0.940853,0.942743,0.989236,0.973865,0.90784,0.913548,0.972018,0.883634,0.881706,43.77
5,6,9.649e-05,0.175733,0.927638,0.094558,0.966644,0.966883,0.995695,0.973865,0.959422,0.96,0.973482,0.933385,0.933287,43.67
5,7,9.524e-05,0.150443,0.938725,0.114445,0.958735,0.959704,0.994669,0.982806,0.934663,0.937664,0.981936,0.918534,0.917469,43.73
5,8,9.382e-05,0.137495,0.94835,0.122492,0.946355,0.948919,0.997326,0.996561,0.896149,0.905625,0.996177,0.897245,0.89271,44.1
5,9,9.222e-05,0.129126,0.950327,0.095457,0.965956,0.966901,0.997139,0.994498,0.937414,0.940794,0.994165,0.933434,0.931912,44.32
5,10,9.045e-05,0.112715,0.954881,0.060016,0.977648,0.977763,0.997944,0.982806,0.97249,0.972771,0.982627,0.955347,0.955296,43.86
5,11,8.853e-05,0.094888,0.966999,0.109488,0.961142,0.962446,0.996845,0.995873,0.92641,0.93119,0.995565,0.924517,0.922283,44.0
5,12,8.645e-05,0.092822,0.966655,0.055164,0.979711,0.979898,0.998292,0.988996,0.970426,0.970966,0.988788,0.959588,0.959422,44.02
5,13,8.423e-05,0.080623,0.97078,0.082109,0.969051,0.96988,0.998651,0.996561,0.941541,0.944589,0.996361,0.939525,0.938102,44.22
5,14,8.187e-05,0.074145,0.972757,0.063767,0.974209,0.974722,0.998742,0.994498,0.95392,0.955717,0.994265,0.9492,0.948418,44.28
5,15,7.939e-05,0.066558,0.975851,0.076213,0.972146,0.972828,0.998852,0.997249,0.947043,0.949574,0.997104,0.945484,0.944292,44.23
5,16,7.679e-05,0.059136,0.978945,0.08445,0.969739,0.97039,0.997865,0.991747,0.94773,0.949934,0.991367,0.940389,0.939477,44.04
5,17,7.409e-05,0.061614,0.976538,0.071104,0.979367,0.97973,0.998429,0.997249,0.961486,0.962815,0.997147,0.959348,0.958735,44.0
5,18,7.129e-05,0.053394,0.97989,0.087478,0.968363,0.969086,0.997393,0.991747,0.944979,0.947438,0.991342,0.937752,0.936726,44.55
5,19,6.841e-05,0.047087,0.982039,0.085883,0.970083,0.970874,0.999036,0.997249,0.942916,0.945858,0.997091,0.941556,0.940165,44.27
5,20,6.545e-05,0.043323,0.984273,0.044992,0.984869,0.985044,0.99919,0.996561,0.973177,0.97379,0.996479,0.970004,0.969739,43.57
5,21,6.243e-05,0.041659,0.984703,0.048959,0.981774,0.982076,0.99947,0.998624,0.964924,0.966068,0.998577,0.964096,0.963549,43.13
5,22,5.937e-05,0.039787,0.985992,0.056443,0.979711,0.980007,0.999194,0.994498,0.964924,0.965932,0.99433,0.959842,0.959422,43.54
5,23,5.627e-05,0.037531,0.985906,0.038457,0.985213,0.985389,0.999654,0.997249,0.973177,0.973808,0.997181,0.970708,0.970426,43.85
5,24,5.314e-05,0.030312,0.989257,0.074303,0.974553,0.975101,0.99916,0.996561,0.952545,0.954545,0.996403,0.950027,0.949106,44.36
5,25,5e-05,0.028499,0.989945,0.064136,0.979023,0.979385,0.999474,0.996561,0.961486,0.962791,0.996436,0.958637,0.958047,43.49
5,26,4.686e-05,0.025782,0.989945,0.064475,0.980743,0.98103,0.999124,0.995873,0.965612,0.966622,0.995745,0.961926,0.961486,43.7
